========================================
  海外利益保护情报预警平台 - 后端服务
  版本: 2.0.0 (PostgreSQL)
  端口: 3000
  环境: development
========================================
[DB] 连接失败: 
[SELF-CLEAN] osint_intel 无需清理，200 条
[SELF-CLEAN] socmint_intel 无需清理，6 条
[AUTO-ENGINE] 自动采集引擎启动 | 深度检索每5分钟 / 社交通道每10分钟
[2026-08-06T20:22:33.139Z] GET /api/scrape?category=terror_events
[2026-08-06T20:22:33.142Z] GET /api/scrape?category=security_events
[2026-08-06T20:22:33.143Z] GET /api/scrape?category=political_events
[2026-08-06T20:22:33.144Z] GET /api/scrape?category=military_conflicts
[2026-08-06T20:22:33.147Z] GET /api/scrape?category=natural_disasters
[2026-08-06T20:22:33.149Z] GET /api/scrape?category=public_health
[2026-08-06T20:22:33.338Z] GET /api/scrape?category=sanctions_data
[2026-08-06T20:22:33.339Z] GET /api/scrape?category=social_unrest
[2026-08-06T20:22:33.353Z] GET /api/scrape?category=infrastructure
[2026-08-06T20:22:33.423Z] GET /api/scrape?category=geopolitical_intel
[2026-08-06T20:22:33.449Z] GET /api/scrape?category=osint_intel
[AUTO-ENGINE collectSocial] fulltext: {"total":5,"ok":1,"fail":4,"skipped":25,"chars":3225,"sec":"10.4"}
[AUTO-ENGINE collectSocial] done in 129.6s | fetched=32 linked=30
[AUTO-ENGINE] 新鲜度闸门剔除 20 条陈旧情报 from collectSocial
[TRANSLATE] 并行采集即译：20/20 个字段译成中文
[2026-08-06T20:22:33.881Z] GET /api/scrape?category=economic_risks
[2026-08-06T20:22:33.966Z] GET /api/media?limit=200
[2026-08-06T20:22:33.972Z] GET /api/scrape?all=1
[TRANSLATE] 并行采集即译：38/38 个字段译成中文
[2026-08-06T20:22:34.024Z] GET /api/sources
[2026-08-06T20:22:34.027Z] GET /api/media?status=1
[TRANSLATE] 并行采集即译：54/54 个字段译成中文，另本地化国家名 5 条
[TRANSLATE] 并行采集即译：142/142 个字段译成中文
[TRANSLATE] 并行采集即译：180/180 个字段译成中文
[2026-08-06T20:22:36.029Z] GET /api/media?limit=1
[TRANSLATE] 并行采集即译：84/84 个字段译成中文
[TRANSLATE] 并行采集即译：486/486 个字段译成中文，另本地化国家名 5 条
[TRANSLATE] 采集即译完成：成功 10 条，失败 0 条
[MERGE] osint_intel 新增 0 条（本批 10），缓存现 200 条
[AUTO-ENGINE] merged 0 /32 from collectSocial → cache now 200
[2026-08-06T20:23:32.824Z] GET /api/media?status=1
[2026-08-06T20:23:32.826Z] GET /api/media?status=1
[2026-08-06T20:23:32.827Z] GET /api/media?status=1
[2026-08-06T20:23:32.829Z] GET /api/media?status=1
[2026-08-06T20:23:32.831Z] POST /api/intel/osint_intel
[2026-08-06T20:23:32.832Z] GET /api/media?status=1
[2026-08-06T20:23:32.850Z] GET /api/media?status=1
[2026-08-06T20:23:32.852Z] GET /api/media?status=1
[2026-08-06T20:23:32.855Z] POST /api/intel/military_conflicts
[2026-08-06T20:23:32.872Z] GET /api/media?status=1
[2026-08-06T20:23:32.874Z] GET /api/media?status=1
[2026-08-06T20:23:32.875Z] POST /api/intel/osint_intel
[2026-08-06T20:23:32.876Z] GET /api/media?status=1
[2026-08-06T20:23:32.891Z] GET /api/media?status=1
[2026-08-06T20:23:32.892Z] POST /api/intel/osint_intel
[2026-08-06T20:23:32.906Z] GET /api/media?status=1
[2026-08-06T20:23:32.908Z] GET /api/media?status=1
[2026-08-06T20:23:32.910Z] GET /api/media?status=1
[2026-08-06T20:23:32.911Z] GET /api/media?status=1
[2026-08-06T20:23:32.913Z] GET /api/media?status=1
[2026-08-06T20:23:32.915Z] GET /api/media?status=1
[2026-08-06T20:23:32.916Z] GET /api/media?status=1
[2026-08-06T20:23:32.918Z] GET /api/media?status=1
[2026-08-06T20:23:32.919Z] GET /api/media?status=1
[2026-08-06T20:23:32.921Z] GET /api/media?status=1
[2026-08-06T20:23:32.922Z] GET /api/media?status=1
[2026-08-06T20:23:32.925Z] POST /api/intel/natural_disasters
[2026-08-06T20:23:32.934Z] GET /api/media?status=1
[2026-08-06T20:23:32.935Z] POST /api/intel/infrastructure
[2026-08-06T20:23:32.950Z] GET /api/media?status=1
